😀;1f600;grinning
🖖;1f596;vulcan-salute
🤘;1f918;sign-of-the-horns
🤙;1f919;call-me-hand
🖐;1f590;raised-hand-with-fingers-splayed
✋;270b;raised-hand
👌;1f44c;ok-hand
👍;1f44d;thumbs-up
👎;1f44e;thumbs-down
✊;270a;raised-fist
👊;1f44a;oncoming-fist
🤛;1f91b;left-facing-fist
🤜;1f91c;right-facing-fist
🤚;1f91a;raised-back-of-hand
👋;1f44b;waving-hand
👏;1f44f;clapping-hands
✍;270d;writing-hand
👐;1f450;open-hands
🙌;1f64c;person-raising-hands
🙏;1f64f;folded-hands
🤝;1f91d;handshake
💅;1f485;nail-polish
👂;1f442;ear
👃;1f443;nose
👣;1f463;footprints
👀;1f440;eyes
👁;1f441;eye
👁‍🗨;1f441-200d-1f5e8;eye-in-speech-bubble
👅;1f445;tongue
👄;1f444;mouth
💋;1f48b;kiss-mark
💘;1f498;heart-with-arrow
❤;2764;heart
💓;1f493;beating-heart
💔;1f494;broken-heart
💕;1f495;two-hearts
💖;1f496;sparkling-heart
💗;1f497;growing-heart
💙;1f499;blue-heart
💚;1f49a;green-heart
💛;1f49b;yellow-heart
💜;1f49c;purple-heart
🖤;1f5a4;black-heart
💝;1f49d;heart-with-ribbon
💞;1f49e;revolving-hearts
💟;1f49f;heart-decoration
❣;2763;heavy-heart-exclamation-mark-ornament
💌;1f48c;love-letter
💤;1f4a4;zzz
💢;1f4a2;anger-symbol
💣;1f4a3;bomb
💥;1f4a5;collision
💦;1f4a6;sweat-droplets
💨;1f4a8;dashing
💫;1f4ab;dizzy
💬;1f4ac;speech-balloon
🗨;1f5e8;left-speech-bubble
🗯;1f5ef;right-anger-bubble
💭;1f4ad;thought-balloon
🕳;1f573;hole
👓;1f453;eyeglasses
🕶;1f576;dark-sunglasses
👔;1f454;necktie
👕;1f455;t-shirt
👖;1f456;jeans
👗;1f457;dress
👘;1f458;kimono
👙;1f459;bikini
👚;1f45a;woman’s-clothes
👛;1f45b;purse
👜;1f45c;handbag
👝;1f45d;pouch
🛍;1f6cd;shopping-bags
🎒;1f392;school-backpack
👞;1f45e;man’s-shoe
👟;1f45f;running-shoe
👠;1f460;high-heeled-shoe
👡;1f461;woman’s-sandal
👢;1f462;woman’s-boot
👑;1f451;crown
👒;1f452;woman’s-hat
🎩;1f3a9;top-hat
🎓;1f393;graduation-cap
⛑;26d1;helmet-with-white-cross
📿;1f4ff;prayer-beads
💄;1f484;lipstick
💍;1f48d;ring
💎;1f48e;gem-stone
🐵;1f435;monkey-face
🐒;1f412;monkey
🦍;1f98d;gorilla
🐶;1f436;dog-face
🐕;1f415;dog
🐩;1f429;poodle
🐺;1f43a;wolf
🦊;1f98a;fox
🐱;1f431;cat-face
🐈;1f408;cat
🦁;1f981;lion
🐯;1f42f;tiger-face
🐅;1f405;tiger
🐆;1f406;leopard
🐴;1f434;horse-face
🐎;1f40e;horse
🦌;1f98c;deer
🦄;1f984;unicorn
🐮;1f42e;cow-face
🐂;1f402;ox
🐃;1f403;water-buffalo
🐄;1f404;cow
🐷;1f437;pig-face
🐖;1f416;pig
🐗;1f417;boar
🐽;1f43d;pig-nose
🐏;1f40f;ram
🐑;1f411;sheep
🐐;1f410;goat
🐪;1f42a;camel
🐫;1f42b;two-hump-camel
🐘;1f418;elephant
🦏;1f98f;rhinoceros
🐭;1f42d;mouse-face
🐁;1f401;mouse
🐀;1f400;rat
🐹;1f439;hamster
🐰;1f430;rabbit-face
🐇;1f407;rabbit
🐿;1f43f;chipmunk
🦇;1f987;bat
🐻;1f43b;bear
🐨;1f428;koala
🐼;1f43c;panda
🐾;1f43e;paw-prints
🦃;1f983;turkey
🐔;1f414;chicken
🐓;1f413;rooster
🐣;1f423;hatching-chick
🐤;1f424;baby-chick
🐥;1f425;front-facing-baby-chick
🐦;1f426;bird
🐧;1f427;penguin
🕊;1f54a;dove
🦅;1f985;eagle
🦆;1f986;duck
🦉;1f989;owl
🐸;1f438;frog
🐊;1f40a;crocodile
🐢;1f422;turtle
🦎;1f98e;lizard
🐍;1f40d;snake
🐲;1f432;dragon-face
🐉;1f409;dragon
🐳;1f433;spouting-whale
🐋;1f40b;whale
🐬;1f42c;dolphin
🐟;1f41f;fish
🐠;1f420;tropical-fish
🐡;1f421;blowfish
🦈;1f988;shark
🐙;1f419;octopus
🐚;1f41a;spiral-shell
🦀;1f980;crab
🦐;1f990;shrimp
🦑;1f991;squid
🦋;1f98b;butterfly
🐌;1f40c;snail
🐛;1f41b;bug
🐜;1f41c;ant
🐝;1f41d;honeybee
🐞;1f41e;lady-beetle
🕷;1f577;spider
🕸;1f578;spider-web
🦂;1f982;scorpion
💐;1f490;bouquet
🌸;1f338;cherry-blossom
💮;1f4ae;white-flower
🏵;1f3f5;rosette
🌹;1f339;rose
🥀;1f940;wilted-flower
🌺;1f33a;hibiscus
🌻;1f33b;sunflower
