😀;1f600;grinning
🚸;1f6b8;children-crossing
⛔;26d4;no-entry
🚫;1f6ab;prohibited
🚳;1f6b3;no-bicycles
🚭;1f6ad;no-smoking
🚯;1f6af;no-littering
🚱;1f6b1;non-potable-water
🚷;1f6b7;no-pedestrians
📵;1f4f5;no-mobile-phones
🔞;1f51e;no-one-under-eighteen
☢;2622;radioactive
☣;2623;biohazard
⬆;2b06;up-arrow
↗;2197;up-right-arrow
➡;27a1;right-arrow
↘;2198;down-right-arrow
⬇;2b07;down-arrow
↙;2199;down-left-arrow
⬅;2b05;left-arrow
↖;2196;up-left-arrow
↕;2195;up-down-arrow
↔;2194;left-right-arrow
↩;21a9;right-arrow-curving-left
↪;21aa;left-arrow-curving-right
⤴;2934;right-arrow-curving-up
⤵;2935;right-arrow-curving-down
🔃;1f503;clockwise-vertical-arrows
🔄;1f504;anticlockwise-arrows
🔙;1f519;back-arrow
🔚;1f51a;end-arrow
🔛;1f51b;on!-arrow
🔜;1f51c;soon-arrow
🔝;1f51d;top-arrow
🛐;1f6d0;place-of-worship
⚛;269b;atom-symbol
🕉;1f549;om
✡;2721;star-of-david
☸;2638;wheel-of-dharma
☯;262f;yin-yang
✝;271d;latin-cross
☦;2626;orthodox-cross
☪;262a;star-and-crescent
☮;262e;peace-symbol
🕎;1f54e;menorah
🔯;1f52f;dotted-six-pointed-star
♻;267b;recycling-symbol
📛;1f4db;name-badge
⚜;269c;fleur-de-lis
🔰;1f530;japanese-symbol-for-beginner
🔱;1f531;trident-emblem
⭕;2b55;heavy-large-circle
✅;2705;white-heavy-check-mark
☑;2611;ballot-box-with-check
✔;2714;heavy-check-mark
✖;2716;heavy-multiplication-x
❌;274c;cross-mark
❎;274e;cross-mark-button
➕;2795;heavy-plus-sign
➖;2796;heavy-minus-sign
➗;2797;heavy-division-sign
➰;27b0;curly-loop
➿;27bf;double-curly-loop
〽;303d;part-alternation-mark
✳;2733;eight-spoked-asterisk
✴;2734;eight-pointed-star
❇;2747;sparkle
‼;203c;double-exclamation-mark
⁉;2049;exclamation-question-mark
❓;2753;question-mark
❔;2754;white-question-mark
❕;2755;white-exclamation-mark
❗;2757;exclamation-mark
〰;3030;wavy-dash
©;00a9;copyright
®;00ae;registered
™;2122;trade-mark
♈;2648;aries
♉;2649;taurus
♊;264a;gemini
♋;264b;cancer
♌;264c;leo
♍;264d;virgo
♎;264e;libra
♏;264f;scorpius
♐;2650;sagittarius
♑;2651;capricorn
♒;2652;aquarius
♓;2653;pisces
⛎;26ce;ophiuchus
🔀;1f500;shuffle-tracks
🔁;1f501;repeat
🔂;1f502;repeat-single
▶;25b6;play
⏩;23e9;fast-forword
⏭;23ed;next-track
⏯;23ef;play-or-pause
◀;25c0;reverse
⏪;23ea;fast-reverse
⏮;23ee;last-track
🔼;1f53c;up
⏫;23eb;fast-up
🔽;1f53d;down
⏬;23ec;fast-down
⏸;23f8;pause
⏹;23f9;stop
⏺;23fa;record
⏏;23cf;eject
🎦;1f3a6;cinema
🔅;1f505;dim
🔆;1f506;bright
📶;1f4f6;antenna-bars
📳;1f4f3;vibration-mode
📴;1f4f4;mobile-phone-off
#⃣;0023-20e3;number-sign
*⃣;002a-20e3;asterisk
0⃣;0030-20e3;zero
1⃣;0031-20e3;one
2⃣;0032-20e3;two
3⃣;0033-20e3;three
4⃣;0034-20e3;four
5⃣;0035-20e3;five
6⃣;0036-20e3;six
7⃣;0037-20e3;seven
8⃣;0038-20e3;eight
9⃣;0039-20e3;nine
🔟;1f51f;ten
💯;1f4af;hundred-points
🔠;1f520;input-latin-uppercase
🔡;1f521;input-latin-lowercase
🔢;1f522;input-numbers
🔣;1f523;input-symbols
🔤;1f524;input-latin-letters
🅰;1f170;a
🆎;1f18e;ab
🅱;1f171;b
🆑;1f191;squared-cl
🆒;1f192;cool
🆓;1f193;free
ℹ;2139;information-source
🆔;1f194;squared-id
Ⓜ;24c2;circled-letter-m
🆕;1f195;new
🆖;1f196;squared-ng
🅾;1f17e;o
🆗;1f197;ok
🅿;1f17f;parking
🆘;1f198;sos
🆙;1f199;up!
🆚;1f19a;vs
🈁;1f201;katakana-koko
🈂;1f202;katakana-sa
🈷;1f237;moon-ideograph
🈶;1f236;exist-ideograph
🈯;1f22f;finger-ideograph
🉐;1f250;circled-advantage-ideograph
🈹;1f239;divide-ideograph
🈚;1f21a;negation-ideograph
🈲;1f232;prohibit-ideograph
🉑;1f251;circled-accept-ideograph
🈸;1f238;apply-ideograph
🈴;1f234;together-ideograph
🈳;1f233;empty-ideograph
㊗;3297;circled-congratulate-ideograph
㊙;3299;circled-secret-ideograph
🈺;1f23a;operating-ideograph
🈵;1f235;fullness-ideograph
▪;25aa;black-small-square
▫;25ab;white-small-square
◻;25fb;white-medium-square
◼;25fc;black-medium-square
◽;25fd;white-medium-small-square
◾;25fe;black-medium-small-square
⬛;2b1b;black-large-square
⬜;2b1c;white-large-square
🔶;1f536;large-orange-diamond
🔷;1f537;large-blue-diamond
🔸;1f538;small-orange-diamond
🔹;1f539;small-blue-diamond
🔺;1f53a;red-triangle-pointed-up
🔻;1f53b;red-triangle-pointed-down
💠;1f4a0;diamond-with-a-dot
🔘;1f518;radio-button
🔲;1f532;black-square
🔳;1f533;white-square
⚪;26aa;white-circle
⚫;26ab;black-circle
🔴;1f534;red-circle
🔵;1f535;blue-circle
🏁;1f3c1;chequered-flag
🚩;1f6a9;triangular-flag
🎌;1f38c;crossed-flags
🏴;1f3f4;waving-black-flag
🏳;1f3f3;waving-white-flag
🇦🇨;1f1e6-1f1e8;ac
🇦🇩;1f1e6-1f1e9;ad
🇦🇪;1f1e6-1f1ea;ae
🇦🇫;1f1e6-1f1eb;af
🇦🇬;1f1e6-1f1ec;ag
🇦🇮;1f1e6-1f1ee;ai
🇦🇱;1f1e6-1f1f1;al
🇦🇲;1f1e6-1f1f2;am
🇦🇴;1f1e6-1f1f4;ao
🇦🇶;1f1e6-1f1f6;aq
🇦🇷;1f1e6-1f1f7;ar
🇦🇸;1f1e6-1f1f8;as
🇦🇹;1f1e6-1f1f9;at
🇦🇺;1f1e6-1f1fa;au
🇦🇼;1f1e6-1f1fc;aw
🇦🇽;1f1e6-1f1fd;ax
🇦🇿;1f1e6-1f1ff;az
🇧🇦;1f1e7-1f1e6;ba
🇧🇧;1f1e7-1f1e7;bb
🇧🇩;1f1e7-1f1e9;bd
🇧🇪;1f1e7-1f1ea;be
🇧🇫;1f1e7-1f1eb;bf
🇧🇬;1f1e7-1f1ec;bg
🇧🇭;1f1e7-1f1ed;bh
🇧🇮;1f1e7-1f1ee;bi
🇧🇯;1f1e7-1f1ef;bj
🇧🇱;1f1e7-1f1f1;bl
🇧🇲;1f1e7-1f1f2;bm
🇧🇳;1f1e7-1f1f3;bn
🇧🇴;1f1e7-1f1f4;bo
🇧🇶;1f1e7-1f1f6;bq
🇧🇷;1f1e7-1f1f7;br
🇧🇸;1f1e7-1f1f8;bs
🇧🇹;1f1e7-1f1f9;bt
🇧🇻;1f1e7-1f1fb;bv
🇧🇼;1f1e7-1f1fc;bw
🇧🇾;1f1e7-1f1fe;by
🇧🇿;1f1e7-1f1ff;bz
🇨🇦;1f1e8-1f1e6;ca
🇨🇨;1f1e8-1f1e8;cc
🇨🇩;1f1e8-1f1e9;cd
🇨🇫;1f1e8-1f1eb;cf
🇨🇬;1f1e8-1f1ec;cg
🇨🇭;1f1e8-1f1ed;ch
🇨🇮;1f1e8-1f1ee;ci
🇨🇰;1f1e8-1f1f0;ck
🇨🇱;1f1e8-1f1f1;cl
🇨🇲;1f1e8-1f1f2;cm
🇨🇳;1f1e8-1f1f3;cn
🇨🇴;1f1e8-1f1f4;co
🇨🇵;1f1e8-1f1f5;cp
🇨🇷;1f1e8-1f1f7;cr
🇨🇺;1f1e8-1f1fa;cu
🇨🇻;1f1e8-1f1fb;cv
🇨🇼;1f1e8-1f1fc;cw
🇨🇽;1f1e8-1f1fd;cx
🇨🇾;1f1e8-1f1fe;cy
🇨🇿;1f1e8-1f1ff;cz
🇩🇪;1f1e9-1f1ea;de
🇩🇬;1f1e9-1f1ec;dg
🇩🇯;1f1e9-1f1ef;dj
🇩🇰;1f1e9-1f1f0;dk
🇩🇲;1f1e9-1f1f2;dm
🇩🇴;1f1e9-1f1f4;do
🇩🇿;1f1e9-1f1ff;dz
🇪🇦;1f1ea-1f1e6;ea
🇪🇨;1f1ea-1f1e8;ec
🇪🇪;1f1ea-1f1ea;ee
🇪🇬;1f1ea-1f1ec;eg
🇪🇭;1f1ea-1f1ed;eh
🇪🇷;1f1ea-1f1f7;er
🇪🇸;1f1ea-1f1f8;es
🇪🇹;1f1ea-1f1f9;et
🇪🇺;1f1ea-1f1fa;eu
🇫🇮;1f1eb-1f1ee;fi
🇫🇯;1f1eb-1f1ef;fj
🇫🇰;1f1eb-1f1f0;fk
🇫🇲;1f1eb-1f1f2;fm
🇫🇴;1f1eb-1f1f4;fo
🇫🇷;1f1eb-1f1f7;fr
🇬🇦;1f1ec-1f1e6;ga
🇬🇧;1f1ec-1f1e7;gb
🇬🇩;1f1ec-1f1e9;gd
🇬🇪;1f1ec-1f1ea;ge
🇬🇫;1f1ec-1f1eb;gf
🇬🇬;1f1ec-1f1ec;gg
🇬🇭;1f1ec-1f1ed;gh
🇬🇮;1f1ec-1f1ee;gi
🇬🇱;1f1ec-1f1f1;gl
🇬🇲;1f1ec-1f1f2;gm
🇬🇳;1f1ec-1f1f3;gn
🇬🇵;1f1ec-1f1f5;gp
🇬🇶;1f1ec-1f1f6;gq
🇬🇷;1f1ec-1f1f7;gr
🇬🇸;1f1ec-1f1f8;gs
🇬🇹;1f1ec-1f1f9;gt
🇬🇺;1f1ec-1f1fa;gu
🇬🇼;1f1ec-1f1fc;gw
🇬🇾;1f1ec-1f1fe;gy
🇭🇰;1f1ed-1f1f0;hk
🇭🇲;1f1ed-1f1f2;hm
🇭🇳;1f1ed-1f1f3;hn
🇭🇷;1f1ed-1f1f7;hr
🇭🇹;1f1ed-1f1f9;ht
🇭🇺;1f1ed-1f1fa;hu
🇮🇨;1f1ee-1f1e8;ic
🇮🇩;1f1ee-1f1e9;id
🇮🇪;1f1ee-1f1ea;ie
🇮🇱;1f1ee-1f1f1;il
🇮🇲;1f1ee-1f1f2;im
🇮🇳;1f1ee-1f1f3;in
🇮🇴;1f1ee-1f1f4;io
🇮🇶;1f1ee-1f1f6;iq
🇮🇷;1f1ee-1f1f7;ir
🇮🇸;1f1ee-1f1f8;is
🇮🇹;1f1ee-1f1f9;it
🇯🇪;1f1ef-1f1ea;je
🇯🇲;1f1ef-1f1f2;jm
🇯🇴;1f1ef-1f1f4;jo
🇯🇵;1f1ef-1f1f5;jp
🇰🇪;1f1f0-1f1ea;ke
🇰🇬;1f1f0-1f1ec;kg
🇰🇭;1f1f0-1f1ed;kh
🇰🇮;1f1f0-1f1ee;ki
🇰🇲;1f1f0-1f1f2;km
🇰🇳;1f1f0-1f1f3;kn
🇰🇵;1f1f0-1f1f5;kp
🇰🇷;1f1f0-1f1f7;kr
🇰🇼;1f1f0-1f1fc;kw
🇰🇾;1f1f0-1f1fe;ky
🇰🇿;1f1f0-1f1ff;kz
🇱🇦;1f1f1-1f1e6;la
🇱🇧;1f1f1-1f1e7;lb
🇱🇨;1f1f1-1f1e8;lc
🇱🇮;1f1f1-1f1ee;li
🇱🇰;1f1f1-1f1f0;lk
🇱🇷;1f1f1-1f1f7;lr
🇱🇸;1f1f1-1f1f8;ls
🇱🇹;1f1f1-1f1f9;lt
🇱🇺;1f1f1-1f1fa;lu
🇱🇻;1f1f1-1f1fb;lv
🇱🇾;1f1f1-1f1fe;ly
🇲🇦;1f1f2-1f1e6;ma
🇲🇨;1f1f2-1f1e8;mc
🇲🇩;1f1f2-1f1e9;md
🇲🇪;1f1f2-1f1ea;me
🇲🇫;1f1f2-1f1eb;mf
🇲🇬;1f1f2-1f1ec;mg
🇲🇭;1f1f2-1f1ed;mh
🇲🇰;1f1f2-1f1f0;mk
🇲🇱;1f1f2-1f1f1;ml
🇲🇲;1f1f2-1f1f2;mm
🇲🇳;1f1f2-1f1f3;mn
🇲🇴;1f1f2-1f1f4;mo
🇲🇵;1f1f2-1f1f5;mp
🇲🇶;1f1f2-1f1f6;mq
🇲🇷;1f1f2-1f1f7;mr
🇲🇸;1f1f2-1f1f8;ms
🇲🇹;1f1f2-1f1f9;mt
🇲🇺;1f1f2-1f1fa;mu
🇲🇻;1f1f2-1f1fb;mv
🇲🇼;1f1f2-1f1fc;mw
🇲🇽;1f1f2-1f1fd;mx
🇲🇾;1f1f2-1f1fe;my
🇲🇿;1f1f2-1f1ff;mz
🇳🇦;1f1f3-1f1e6;na
🇳🇨;1f1f3-1f1e8;nc
🇳🇪;1f1f3-1f1ea;ne
🇳🇫;1f1f3-1f1eb;nf
🇳🇬;1f1f3-1f1ec;ng
🇳🇮;1f1f3-1f1ee;ni
🇳🇱;1f1f3-1f1f1;nl
🇳🇴;1f1f3-1f1f4;no
🇳🇵;1f1f3-1f1f5;np
🇳🇷;1f1f3-1f1f7;nr
🇳🇺;1f1f3-1f1fa;nu
🇳🇿;1f1f3-1f1ff;nz
🇴🇲;1f1f4-1f1f2;om
🇵🇦;1f1f5-1f1e6;pa
🇵🇪;1f1f5-1f1ea;pe
🇵🇫;1f1f5-1f1eb;pf
🇵🇬;1f1f5-1f1ec;pg
🇵🇭;1f1f5-1f1ed;ph
🇵🇰;1f1f5-1f1f0;pk
🇵🇱;1f1f5-1f1f1;pl
🇵🇲;1f1f5-1f1f2;pm
🇵🇳;1f1f5-1f1f3;pn
🇵🇷;1f1f5-1f1f7;pr
🇵🇸;1f1f5-1f1f8;ps
🇵🇹;1f1f5-1f1f9;pt
🇵🇼;1f1f5-1f1fc;pw
🇵🇾;1f1f5-1f1fe;py
🇶🇦;1f1f6-1f1e6;qa
🇷🇪;1f1f7-1f1ea;re
🇷🇴;1f1f7-1f1f4;ro
🇷🇸;1f1f7-1f1f8;rs
🇷🇺;1f1f7-1f1fa;ru
🇷🇼;1f1f7-1f1fc;rw
🇸🇦;1f1f8-1f1e6;sa
🇸🇧;1f1f8-1f1e7;sb
🇸🇨;1f1f8-1f1e8;sc
🇸🇩;1f1f8-1f1e9;sd
🇸🇪;1f1f8-1f1ea;se
🇸🇬;1f1f8-1f1ec;sg
🇸🇭;1f1f8-1f1ed;sh
🇸🇮;1f1f8-1f1ee;si
🇸🇯;1f1f8-1f1ef;sj
🇸🇰;1f1f8-1f1f0;sk
🇸🇱;1f1f8-1f1f1;sl
🇸🇲;1f1f8-1f1f2;sm
🇸🇳;1f1f8-1f1f3;sn
🇸🇴;1f1f8-1f1f4;so
🇸🇷;1f1f8-1f1f7;sr
🇸🇸;1f1f8-1f1f8;ss
🇸🇹;1f1f8-1f1f9;st
🇸🇻;1f1f8-1f1fb;sv
🇸🇽;1f1f8-1f1fd;sx
🇸🇾;1f1f8-1f1fe;sy
🇸🇿;1f1f8-1f1ff;sz
🇹🇦;1f1f9-1f1e6;ta
🇹🇨;1f1f9-1f1e8;tc
🇹🇩;1f1f9-1f1e9;td
🇹🇫;1f1f9-1f1eb;tf
🇹🇬;1f1f9-1f1ec;tg
🇹🇭;1f1f9-1f1ed;th
🇹🇯;1f1f9-1f1ef;tj
🇹🇰;1f1f9-1f1f0;tk
🇹🇱;1f1f9-1f1f1;tl
🇹🇲;1f1f9-1f1f2;tm
🇹🇳;1f1f9-1f1f3;tn
🇹🇴;1f1f9-1f1f4;to
🇹🇷;1f1f9-1f1f7;tr
🇹🇹;1f1f9-1f1f9;tt
🇹🇻;1f1f9-1f1fb;tv
🇹🇼;1f1f9-1f1fc;tw
🇹🇿;1f1f9-1f1ff;tz
🇺🇦;1f1fa-1f1e6;ua
🇺🇬;1f1fa-1f1ec;ug
🇺🇲;1f1fa-1f1f2;um
🇺🇸;1f1fa-1f1f8;us
🇺🇾;1f1fa-1f1fe;uy
🇺🇿;1f1fa-1f1ff;uz
🇻🇦;1f1fb-1f1e6;va
🇻🇨;1f1fb-1f1e8;vc
🇻🇪;1f1fb-1f1ea;ve
🇻🇬;1f1fb-1f1ec;vg
🇻🇮;1f1fb-1f1ee;vi
🇻🇳;1f1fb-1f1f3;vn
🇻🇺;1f1fb-1f1fa;vu
🇼🇫;1f1fc-1f1eb;wf
🇼🇸;1f1fc-1f1f8;ws
🇽🇰;1f1fd-1f1f0;xk
🇾🇪;1f1fe-1f1ea;ye
🇾🇹;1f1fe-1f1f9;yt
🇿🇦;1f1ff-1f1e6;za
🇿🇲;1f1ff-1f1f2;zm
🇿🇼;1f1ff-1f1fc;zw
